model,feature_set,mean_rmse,std_rmse,status
ExtraTreesRegressor,Feature Set A,18.7312,2.1141,Tested
ExtraTreesRegressor,Feature Set B,16.2273,2.1423,Selected
ExtraTreesRegressor,Feature Set C,25.1084,1.2799,Tested
RandomForestRegressor,Feature Set A,21.5218,2.1637,Tested
RandomForestRegressor,Feature Set B,21.2544,2.0361,Tested
RandomForestRegressor,Feature Set C,22.7703,1.8701,Tested
Random Forest,Feature Set A,22.427,2.2632,Tested
Random Forest,Feature Set B,20.2196,2.3167,Tested
Random Forest,Feature Set C,20.2763,2.3285,Tested
GradientBoostingRegressor,Feature Set A,19.9284,3.0708,Tested
GradientBoostingRegressor,Feature Set B,17.0097,2.3465,Tested
GradientBoostingRegressor,Feature Set C,17.0182,2.9689,Tested
HistGradientBoostingRegressor,Reported overall,19.5199,,Tested
XGBoost,Feature Set A,21.1494,2.6705,Tested
XGBoost,Feature Set B,17.5208,3.1676,Tested
XGBoost,Feature Set C,17.7273,2.3062,Tested
SVR — RBF Kernel,Feature Set A,28.0941,1.6364,Tested
SVR — RBF Kernel,Feature Set B,22.6413,1.6937,Tested
SVR — RBF Kernel,Feature Set C,25.9292,1.5932,Tested
